server_id,server_name,bmc_type,result,best_path,best_mode,best_http,best_score,best_unavailable,error
353,"s1308","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
354,"s1309","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
355,"s1310","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
356,"s333","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
357,"s913","ami","HTML5_READY","/","html",200,25,0,""
358,"s54","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
359,"s825","ami","HTML5_READY","/","html",200,25,0,""
360,"s532","supermicro","NO_WORKING_ENDPOINT","/cgi/url_redirect.cgi?url_name=ikvm&url_type=html5","html",404,-75,0,""
361,"s819","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
362,"s1138","ami","HTML5_READY","/","html",200,25,0,""
363,"s17","idrac","HTML5_READY","/viewer.html","html",200,55,0,""
365,"s1322","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
366,"s260","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
367,"s499","ami","HTML5_READY","/","html",200,25,0,""
368,"s942","supermicro","LEGACY_ONLY","/cgi/url_redirect.cgi?url_name=ikvm&url_type=jwsk","jnlp",200,-40,0,""
369,"s157","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
370,"s933","ami","HTML5_READY","/","html",200,25,0,""
371,"s01","idrac","HTML5_READY","/viewer.html","html",200,55,0,""
372,"s06","idrac","HTML5_READY","/viewer.html","html",200,55,0,""
